Year,June: BOB,June: AS,June: LAND,June: TOTAL,July: BOB,July: AS,July: LAND,July: TOTAL,August: BOB,August: AS,August: LAND,August: TOTAL,September: BOB,September: AS,September: LAND,September: TOTAL,June - September: BOB,June - September: AS,June - September: LAND,June - September: TOTAL
1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,2
1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2
1969,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1970,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2
1971,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,2
1972,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,2,0,1,3
1973,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2
1974,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,2,1,0,3
1975,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1976,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,2
1977,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1978,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1979,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,2,0,3
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,2
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
